"dwaid","dwatitle","adoption_rate","number_observations","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I12.D07","Cut wood components for installation.","3.6%","62","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I05.D02","Respond to emergencies to provide assistance.","3.6%","58","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I06.D05","Assess skin or hair conditions.","3.6%","41","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I01.D02","File documents or records.","3.5%","60","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I06.D12","Check quality of foods or supplies.","3.4%","102","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I08.D02","Maintain vehicles in good working condition.","3.2%","48","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I33.D07","Treat greenery or surfaces with protective substances.","3.2%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I02.D05","Read technical information needed to perform maintenance or repairs.","3.2%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D18","Perform housekeeping duties.","3.0%","140","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I02.D13","Read work orders or descriptions of problems to determine repairs or modifications needed.","3.0%","31","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I03.D11","Apply bandages, dressings, or splints.","2.8%","76","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I11.D03","Operate grounds maintenance equipment.","2.7%","37","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D07","Clean patient rooms or patient treatment rooms.","2.7%","30","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I04.D13","Train construction or extraction personnel.","2.7%","23","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I10.D01","Operate communications equipment or systems.","2.6%","29","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I07.D03","Discuss child development and behavior with parents or guardians.","2.5%","39","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D25","Clean vehicles or vehicle components.","2.5%","38","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I42.D06","Package objects for shipping.","2.5%","26","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I07.D02","Prepare surfaces for finishing.","2.1%","21","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I02.D03","Record information about legal matters.","2.1%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I04.D08","Install machine or equipment replacement parts.","2.0%","25","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I11.D01","Use weapons or physical force to maintain security.","1.8%","39","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I02.D14","Inspect cargo to ensure it is properly loaded or secured.","1.7%","48","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I06.D02","Monitor patron activities to identify problems or potential problems.","1.5%","20","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I06.D02","Diagnose medical conditions.","1.5%","22","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D06","Communicate with others to coordinate vehicle movement.","1.4%","21","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I01.D02","Teach life skills or strategies to clients or their families.","1.4%","30","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I14.D02","Trim trees or other vegetation.","1.4%","45","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I12.D04","Accompany patients or clients on outings to provide assistance.","1.2%","68","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I11.D05","Maintain public order or security.","1.2%","66","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I09.D02","Clean medical equipment.","0.9%","40","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I34.D05","Thread wire or cable through ducts or conduits.","0.7%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I07.D05","Patrol properties to maintain safety.","0.5%","39","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I11.D02","Block physical access to restricted areas.","0.4%","43","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I07.D01","Provide first aid or rescue assistance in emergencies.","0.4%","38","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I03.D07","Investigate illegal or suspicious activities.","0.3%","50","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D29","Arrange delivery of goods or services.","0.0%","23","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I11.D01","Assist practitioners to perform medical procedures.","0.0%","37","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I38.D01","Collect biological specimens from patients.","0.0%","34","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.4.I01.D12","Drive trucks or other vehicles to or at work sites.","0.0%","32","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I07.D08","Inspect electrical or electronic systems for defects.","0.0%","28","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I09.D01","Maintain medical equipment or instruments.","0.0%","33","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I09.D05","Measure the physical or physiological attributes of patients.","0.0%","25","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I11.D03","Prepare patient treatment areas for use.","0.0%","27","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I03.D01","Present food or beverage information or menus to customers.","0.0%","34","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D22","Record service or repair activities.","0.0%","34","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I09.D01","Sterilize medical equipment or instruments.","0.0%","46","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I05.D08","Acquire supplies or equipment.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I24.D02","Adjust dental devices or appliances to ensure fit.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I09.D13","Adjust equipment controls to regulate flow of water, cleaning solutions, or other liquids.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I09.D02","Adjust equipment controls to regulate gas flow.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I06.D05","Adjust fabrics or other materials during garment production.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I09.D14","Adjust flow of electricity to tools or production equipment.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I24.D01","Adjust prostheses or other assistive devices.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.6.I02.D05","Adjust routes or speeds as necessary.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I09.D09","Adjust settings or positions of medical equipment.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I09.D07","Adjust temperature controls of ovens or other heating equipment.","","18","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I09.D11","Adjust the tension of nuts or bolts.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I09.D01","Adjust tuning or functioning of musical instruments.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I09.D15","Adjust vehicle components according to specifications.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I12.D06","Administer cancer treatments.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I01.D06","Administer drug screening tests.","","17","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I03.D10","Administer medical substances for imaging or other procedures.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.2.I02.D03","Administer standardized physical or psychological tests.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I02.D04","Administer therapeutic massages.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I06.D03","Advise clients or community groups on health issues.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I06.D02","Advise communities or institutions regarding health or safety issues.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I02.D03","Advise customers on the use of products or services.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I07.D05","Advise educators on curricula, instructional methods, or policies.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I06.D01","Advise medical personnel regarding healthcare issues.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I03.D01","Advise others about environmental management or conservation.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I03.D04","Advise others about land management or conservation.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I07.D07","Advise others on educational matters.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I05.D01","Advise others on farming or forestry operations, regulations, or equipment.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I06.D05","Advise others on healthcare matters.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I05.D08","Advise others on human resources topics.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I05.D06","Advise others on issues related to repairs, installation, or equipment design.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I09.D01","Advise others on management of emergencies or hazardous situations or materials.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I08.D02","Advise others on matters of public policy.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I04.D04","Advise others on the development or use of new technologies.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I05.D11","Advise others on ways to improve processes or products.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I03.D02","Advise others regarding green practices or environmental concerns.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I01.D02","Advise patients on preventive care techniques.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I41.D01","Align equipment or machinery.","","11","","","","","","","","","","","","","","","","","","","","","",""
